2024/01/04 05:51:58 [error] 15#15: *6 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:52:40 [error] 15#15: *13 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:52:41 [error] 15#15: *13 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:53:25 [error] 15#15: *20 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:54:28 [error] 15#15: *23 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:54:41 [error] 15#15: *30 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:54:47 [error] 15#15: *32 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:22:15 [error] 15#15: *38 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:23:02 [error] 15#15: *41 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:23:33 [error] 15#15: *52 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:23:50 [error] 15#15: *57 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.70, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:26:27 [error] 15#15: *2 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.73, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:26:30 [error] 15#15: *4 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.73, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:27:57 [error] 15#15: *8 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.73, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:30:50 [error] 15#15: *4 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:31:56 [error] 15#15: *8 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:32:46 [error] 15#15: *14 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:32:47 [error] 15#15: *14 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:32:48 [error] 15#15: *22 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:34:55 [error] 15#15: *27 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:35:27 [error] 15#15: *29 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:35:28 [error] 15#15: *29 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:35:41 [error] 15#15: *32 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:36:29 [error] 15#15: *41 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:36:38 [error] 15#15: *43 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 06:37:07 [error] 15#15: *48 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 10.89.2.2, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/conn.php"
2024/01/04 06:42:26 [error] 15#15: *2 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.5, server: , request: "GET /conn.php HTTP/1.1", upstream: "fastcgi://10.89.2.4:9000", host: "127.0.0.1:8080"
2024/01/04 06:42:30 [error] 15#15: *2 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.5, server: , request: "GET /conn.php HTTP/1.1", upstream: "fastcgi://10.89.2.4:9000", host: "127.0.0.1:8080"
2024/01/04 06:42:40 [error] 15#15: *7 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.5, server: , request: "GET /conn.php HTTP/1.1", upstream: "fastcgi://10.89.2.4:9000", host: "127.0.0.1:8080"
2024/01/04 06:42:46 [error] 15#15: *7 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.5, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.2.4:9000", host: "127.0.0.1:8080"
2024/01/05 01:02:48 [error] 15#15: *1 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/?server=db&username=root"
